94348,PRODUCE,WATERMELON CUTS,PER LB,0.89,09326
4348,PRODUCE,WATERMELON CUTS,PER LB,0.89,09326
4350,PRODUCE,HONEYDEW CUTS,PER LB,1.79,09184
40375,0,GRAPEFRUIT,PER LB,4.99,09111
94350,0,HONEYDEW CUTS,PER LB,1.79,
40385,0,STRAWBERRY MANGO KIWI BERRY,PER LB,6.99,
35971404410,AQUA GREENS,BROCCOLI SPROUTS CV,4 OZ,3.49,11090
033383000381,BRIDGES ORGANIC,APPLE ORGANIC RED DELICIOUS,3 LB,6.99,09500
884051070072,BRUNETTA,TOMATO BROWN CV,QT,3.99,11529
078783905072,BUNCH,KALE RED ORG,EA,1.99,11233
033383700403,BUNNY LUV,PARSNIPS BAGGED CV,16 OZ,2.29,11298
078783907267,CAL-ORGANIC,RAINBOW BABY CARROTS,1 LB,2.69,11960
078783908097,CAL-ORGANIC,CARROT RAINBOW OG BAG,2 LB,3.69,11124
078783524518,CAL-ORGANIC,CARROT SHREDDED,10 OZ,2.69,
078783907694,CAL-ORGANIC,ROMAINE HEARTS,3 CT,3.99,11251
078783905058,CAL-ORGANIC,RED DANDELION GREENS OG,0,3.69,11207
078783527106,CAL-ORGANIC,CARROTS SHREDDED OG MIXED,10 OZ,2.69,
017278012444,CLUB CHEF,SQUASH MEDLEY,12 OZ,2.99,
4200,CONVENTIONAL,APPLES LOCAL,PER LB,1.49,09500
4080,CONVENTIONAL,ASPARAGUS,PER LB,3.99,11011
3110,CONVENTIONAL,ORANGES Navel Red,PER LB,2.29,09202
4023,CONVENTIONAL,GRAPES RED,PER LB,2.99,09132
4022,CONVENTIONAL,GRAPES White/Green Seedless,0,3.99,09132
4550,CONVENTIONAL,Brussels Sprouts,lb,2.99,11098
4046,CONVENTIONAL,AVOCADOS HASS,EA,0.99,09037
4078,CONVENTIONAL,Corn,EA,0.59,11167
4066,CONVENTIONAL,BEANS GREEN,PER LB,1.99,11052
4664,CONVENTIONAL,TOMATOES ON VINE,PER LB,1.99,11529
4050,CONVENTIONAL,CANTALOUPE CONV,0,0.89,09181
4381,CONVENTIONAL,ORANGES Blood,PER LB,2.39,09200
4799,CONVENTIONAL,TOMATOES Hydroponic,0,2.99,11529
4499,CONVENTIONAL,GRAPES Crimson/Majestic,PER LB,2.99,09131
4246,CONVENTIONAL,BERRIES Strawberries Pint,0,4.99,09316
4027,CONVENTIONAL,GRAPEFRUIT Red/Pink,0,0.99,09112
4073,CONVENTIONAL,Potatoes red c creamers,lb,1.69,11358
793573423900,CONVENTIONAL,BASIL LIVING CONV,EA,3.99,02044
4011,CONVENTIONAL,BANANAS,PER LB,0.69,09040
4074,CONVENTIONAL,YAMS CONV,PER LB,1.59,11601
4045,CONVENTIONAL,CHERRY CONV,PER LB,8.99,09070
4032,CONVENTIONAL,WATERMELON RED SEEDLESS CONV,EA,0.79, 09326
4450,CONVENTIONAL,CLEMENTINES LOOSE,PER LB,1.99, 09433
4453,CONVENTIONAL,TANGERINES Honey,0,1.49, 09218
4044,CONVENTIONAL,PEACHES CONV,PER LB,1.99, 09236
4440,CONVENTIONAL,PLUMS RED,PER LB,2.99, 09279
4727,CONVENTIONAL,POTATO Yellow,0,1.49, 31027
4317,CONVENTIONAL,MELON Canary/Yellow Honeydew,0,1.39, 09184
4092,CONVENTIONAL,PEAS SNOW CONV,PER LB,3.99, 11304
032601901400,CONVENTIONAL,SALAD MIX CLAM EARTHBOUND,16 OZ,6.99,
4540,CONVENTIONAL,BEETS RED LOOSE,PER LB,1.49, 11080
4626,CONVENTIONAL,Jicama,lb,1.89,
4811,CONVENTIONAL,TURNIP Purple Top,PER LB,1.49,
033383146041,CONVENTIONAL,CLEMENTINES,BOX,6.99,
4064,CONVENTIONAL,TOMATOES CONVENTIONAL,PER LB,2.99,
4055,CONVENTIONAL,TANGERINES,0,1.69,
4235,CONVENTIONAL,Plantains,lb,1.29,
4406,CONVENTIONAL,Pears asian local,lb,1.99,
033383146058,CONVENTIONAL,CLEMENTINE BAG,3LB BAG,6.99,
4258,CONVENTIONAL,CHERRIES Golden/Ranier,0,9.99,
4062,CONVENTIONAL,CUCUMBER CONV,PER LB,1.99,
4416,CONVENTIONAL,PEARS d anjou,PER LB,1.79,
4378,CONVENTIONAL,NECTARINE YELLOW CONV,PER LB,2.49,
4067,CONVENTIONAL,SQUASH ZUCCHINI CONV,PER LB,1.99,
4659,CONVENTIONAL,ONIONS Bulb,0,1.99,
4627,CONVENTIONAL,GREENS Kale,0,2.99,
4065,CONVENTIONAL,PEPPER BELL GREEN CONV,PER LB,1.99,
4085,CONVENTIONAL,Mushrooms bulk conv,lb,3.99,
4166,CONVENTIONAL,ONIONS SWEET,PER LB,1.69,
4068,CONVENTIONAL,ONION GREEN CONV,CT,1.99,
4040,CONVENTIONAL,PLUMS BLACK,PER LB,2.99,
4710,CONVENTIONAL,PEPPER HOT,PER LB,3.99,
4042,CONVENTIONAL,PLUMS RED,PER LB,2.99,
4056,CONVENTIONAL,GRAPES BLACK,PER LB,4.99,
4417,CONVENTIONAL,PEARS D Anjou Red,0,0.99,
4236,CONVENTIONAL,BANANAS red,PER LB,1.29,
4088,CONVENTIONAL,PEPPERS BELL RED CONV.,PER LB,3.99,
4544,CONVENTIONAL,BOK CHOY Baby,0,3.99,
4288,CONVENTIONAL,GRAPEFRUIT Deep Red,0,0.99,
4089,CONVENTIONAL,RADISH BUNCH CONV,CT,2.29,
4038,CONVENTIONAL,Peaches conv,PER LB,1.99,
4442,CONVENTIONAL,PLUMS Yellow,0,2.99,
4084,CONVENTIONAL,ARTICHOKE CONV,EA,2.99,
4770,CONVENTIONAL,AVOCADOS Hass,0,0.99,
4082,CONVENTIONAL,ONION RED CONV,PER LB,2.29,
3278,CONVENTIONAL,PLUOT CONV,PER LB,3.99,
4430,CONVENTIONAL,PINEAPPLE,0,4.99,
751944980131,CONVENTIONAL,Thyme,ct,2.39,
4060,CONVENTIONAL,BROCCOLI,0,3.99,
4072,CONVENTIONAL,POTATO Russet,0,1.79,
4395,CONVENTIONAL,Papaya,lb,1.99,
4672,CONVENTIONAL,PARSNIP CONV,0,2.49,
4705,CONVENTIONAL,PEPPER POBLANO,PER LB,3.99,
4663,CONVENTIONAL,ONIONS White,0,2.59,
4087,CONVENTIONAL,TOMATOES Roma Red,PER LB,2.99,
4281,CONVENTIONAL,GRAPEFRUIT Red/Pink,0,0.99,
4771,CONVENTIONAL,AVOCADOS Green,0,0.99,
4036,CONVENTIONAL,NECTARINE YELLOW CONV,PER LB,2.49,
4090,CONVENTIONAL,SPINACH Bunched,0,1.99,
4555,CONVENTIONAL,CABBAGE Savoy,PER LB,1.39,
4053,CONVENTIONAL,LEMON CONV,LB,1.99,
4598,CONVENTIONAL,RADISH DAIKON,0,1.69,
4081,CONVENTIONAL,EGGPLANT,0,2.99,
4034,CONVENTIONAL,HONEYDEW MELON CONV,PER LB,1.69,
4075,CONVENTIONAL,LETTUCE RedLeaf,0,2.99,
4262,CONVENTIONAL,COCONUT CONV,EA,2.49,
4397,CONVENTIONAL,PASSION FRUIT,0,1.99,
4037,CONVENTIONAL,YELLOW PEACHES,0,2.49,
4025,CONVENTIONAL,PEARS D Anjou,0,1.99,
4801,CONVENTIONAL,TOMATILLO,PER LB,2.49,
033383671017,CONVENTIONAL,CUCUMBER ENGLISH,EA,1.99,
4750,CONVENTIONAL,SQUASH Acorn/Table Queen,0,0.99,
4404,CONVENTIONAL,PEACHES Retailer Assigned,0,2.49,
4651,CONVENTIONAL,MUSHROOMS Shiitake,0,12.99,
4522,CONVENTIONAL,ASPARAGUS White,0,4.99,
4889,CONVENTIONAL,CILANTRO,0,1.99,
4524,CONVENTIONAL,ASPARAGUS Tips,0,3.29,
4029,CONVENTIONAL,PINEAPPLE,0,4.99,
3129,CONVENTIONAL,GRAPEFRUIT Pummelo Red,0,2.99,
4255,CONVENTIONAL,CACTUS PEAR,0,1.99,
4051,CONVENTIONAL,MANGO CONV,EA,1.69,
4312,CONVENTIONAL,MANGO Yellow,0,1.39,
4093,CONVENTIONAL,ONION YELLOW CONV,PER LB,1.69,
033383222288,CPMV,BLUEBERRY,6 OZ,2.99,
845857020036,DARLING CLEMENTINE,CLEMENTINES,3 LB BAG,6.99,
845857022276,DARLING CLEMENTINE,CLEMENTINE CV BOX,5 LB,6.99,
024000507864,DEL MONTE,CHERRY MIXED FRUIT CUP,7 OZ,2.69,
00813133020070,DESERT MAGIC,ONION,3 LB,4.99,
071430011195,DOLE,STRAWBERRIES,0,3.99,
643126071983,DOLE,PINEAPPLE ORG,0,5.99,
071430900635,DOLE,CELERY HEARTS,EA,3.99,
071430011508,DOLE,BLUEBERRY,6 OZ,2.99,
071430011089,DOLE,BLACKBERRIES,6 OZ,2.99,
715756300228,DRISCOLL,BLUEBERRIES,1 PT,4.99,
715756100422,DRISCOLL,BLACKBERRIES CV,6 OZ,3.69,
715756100248,DRISCOLL,BLACKBERRY CV,12 OZ,5.99,
032601902674,EARTHBOUND,SALAD MIX POWER GREENS,5 OZ,3.99,
032601900113,EARTHBOUND,SALAD HALF & HALF OG,5 OZ,3.99,
032601902698,EARTHBOUND,SALAD MIX ZEN BLEND,5 OZ,3.99,
032601900281,EARTHBOUND,OG MIXED BABY KALE,5 OZ,3.99,
895203001295,EARTHBOUND,SALAD MIX SUPER GREENS OG,5 OZ,4.69,
032601900953,EARTHBOUND,SPINACH BABY BLEND CLAMSHELL,5 OZ,3.99,
032601031206,EARTHBOUND,CELERY HEARTS,0,3.99,
032601901868,EARTHBOUND,HALF & HALF SPINACH ARUGALA,5 OZ,3.99,
032601902827,EARTHBOUND,ITALIA KALE,5 OZ,3.99,
032601900137,EARTHBOUND,SALAD MIX HALF & HALF OG,1 LB,6.99,
032601902681,EARTHBOUND,SALAD MIX POWER GREENS,1 LB,6.99,
93608,ENZA,PACIFIC ROSE APPLES,PER LB,2.99,
033383901107,FARMER'S OWN,POTATOES RED 3# BAG,3 LB,6.99,
073574800031,FOXY,LETTUCE ROMAINE HEARTS,3 PK,3.99,
7503018074146,FRESH KAMPO,BLACKBERRIES OG,6 OZ,4.99,
7503018074306,FRESH KAMPO,RED RASPBERRIES OG,6 OZ,6.99,
017278012499,FRESH TRADITIONS,BUTTERNUT SQUASH,12 OZ,3.99,
781655500502,HARVEST AT HOME,BASIL LIVING CV,0,3.99,
751944980100,HERBAL GARDEN,Rosemary,0,2.39,
898626002214,HOKTO,BEECH MUSHROOM,EA,3.99,
898626002016,HOKTO,MAITAKE MUSHROOM,EA,3.99,
898626002313,HOKTO,BUNAPI MUSHROOM,EA,3.99,
898626002115,HOKTO,KING OYSTER MUSHROOM,EA,3.99,
828904000069,HOMEGROWN,LEMON OG BAG,2 LB,7.99,
828904000878,HOMEGROWN,OG CLEMENTINE,2 LB,6.99,
827468001222,I LOVE PRODUCE,GARLIC SLEEVE,5 OZ,1.99,
799857002021,JACOB FARMS,HERB TARRAGON ORG,0.75 OZ,2.39,
858959004255,JOSIE'S ORGANICS,LETTUCE ROMAINE HEARTS OG,12 OZ,3.99,
858959004309,JOSIE'S ORGANICS,CELERY HEARTS OG,1 LB,3.99,
047167901023,JUDEL,POTATO RUSSET BAG,5 LB,4.99,
047167958010,JUDEL ORGANICS,POTATOES RED BAGGED,5 LB,8.99,
033383604183,LADY MOON,TOMATO MIXED MEDLEY,1 PT,3.99,
716519013065X,MANN'S,CALIFORNIA STIR FRY,12 OZ,3.49,
716519041204,MANN'S,SNOW PEAS,6 OZ,3.99,
716519013065,MANN'S,CALIFORNIA STIR FRY,12 OZ,3.49,
045255119671,MELLISSA'S,YOUNG COCONUT CV,0,2.99,
781655123091,MICHIGAN FINE HERBS,HERB THYME OG,.75 OZ,2.39,
781655118097,MICHIGAN FINE HERBS,HERB ROSEMARY OG,.75 OZ,2.39,
781655119094,MICHIGAN FINE HERBS,HERB SAGE OG,.75 OZ,2.39,
781655106094,MICHIGAN FINE HERBS,HERB CHIVES OG,.75 OZ,2.39,
781655122094,MICHIGAN FINE HERBS,HERB TARRAGON OG,.75 OZ,2.39,
781655115096X,MICHIGAN HERBS,HERBS MINT OG,.75 OZ,2.39,
781655115096,MICHIGAN HERBS,MINT,.75 OZ,2.39,
781655117090,MICHIGAN HERBS,OREGANO,.75 OZ,2.39,
781655117090X,MICHIGAN HERBS,HERBS OREGANO OG,.75 OZ,2.39,
642102098587,MOTHER EARTH,MUSHROOM CRIMINI SLICED,8 OZ,3.99,
642102509595,MOTHER EARTH,MUSHROOM CRIMINI,8 OZ,3.99,
033383221281,MOTHER'S CHOICE,BLUEBERRIES CV,6 OZ,2.99,
812049009513,NATURERIPE,STRAWBERRY OG,16 OZ,3.99,
033074500305,NATURE'S BOUNTY,RUSSET POTATO,5 LB,4.99,
812049005102,NATURIPE,STRAWBERRY CV,1 LB,3.49,
812049004419,NATURIPE,RASPBERRIES,4.4 OZ,2.99,
813635010029,NORTH BAY PRODUCE,BLUEBERRIES CV,6 OZ,2.99,
813635010364,NORTH BAY PRODUCE,BLUEBERRY OG,6 OZ,3.99,
813635011279,NORTH BAY PRODUCE,BLUEBERRY CV,11 OZ,2.99,
000651317007,OCEAN MIST,BRUSSELS SPROUTS CV,1 LB,3.49,
033383146003,OCEAN SPRAY,BAGGED CLEMENTINES,EA,4.99,
94263,OG,Dates Medjool OG,lb,8.99,
715756300099,OG,blueberry  org,6 oz,3.99,
94552,OG,Cabbage Napa local org,lb,1.99,
94083,OG,Potatoe white,lb,1.69,
94038,OG,Peaches org,PER LB,3.99,
94045,OG,Cherries,PER LB,11.99,
94044,OG,Peaches OG,lb,3.99,
94888,OG,Dill bunched,ct,2.99,
94395,OG,Papaya org,lb,1.99,
94010,OG,Banana Fair Trade,lb,0.99,
94401,OG,Peaches white OG,lb,3.99,
4646,OG,Mushroom Morel,lb,39.99,
94218,OG,Apricots,lb,5.99,
4650,OG,Mushroom Portabella local conv,lb,6.99,
94605,OG,Lettuce. Escarole,ct,2.69,
826088901028,OLD OAK FARMS,POTATO RUSSET,5 LB,4.99,
033383000343,ORG,APPLE GALA BAGGED ORG,EA,7.99,
033383000367,ORG,APPLE GRANNY SMITH BAGGED,BAG,7.99,
